id,count,identify,date,time
18,10,20230912143x,2023-09-12,14:34:05
19,2,20230912143x,2023-09-12,14:35:10
20,6,20230912143x,2023-09-12,14:36:17
21,2,20230912143x,2023-09-12,14:37:20
22,12,20230912143x,2023-09-12,14:38:31
23,13,20230912143x,2023-09-12,14:39:39
24,6,20230912144x,2023-09-12,14:40:42
25,9,20230912144x,2023-09-12,14:41:55
26,6,20230912144x,2023-09-12,14:43:04
27,5,20230912144x,2023-09-12,14:44:10
28,4,20230912144x,2023-09-12,14:45:14
29,2,20230912144x,2023-09-12,14:46:20
30,4,20230912144x,2023-09-12,14:47:30
31,18,20230912144x,2023-09-12,14:48:40
32,10,20230912144x,2023-09-12,14:49:53
33,11,20230912145x,2023-09-12,14:51:00
34,8,20230912145x,2023-09-12,14:52:00
35,10,20230912145x,2023-09-12,14:53:05
36,9,20230912145x,2023-09-12,14:54:06
37,6,20230912145x,2023-09-12,14:55:16
38,2,20230912145x,2023-09-12,14:56:20
39,11,20230912145x,2023-09-12,14:57:42
40,4,20230912145x,2023-09-12,14:58:55
41,5,20230912150x,2023-09-12,15:00:01
42,3,20230912150x,2023-09-12,15:01:12
43,4,20230912150x,2023-09-12,15:02:13
44,3,20230912150x,2023-09-12,15:03:16
45,1,20230912150x,2023-09-12,15:04:58
46,4,20230912150x,2023-09-12,15:06:22
47,1,20230912150x,2023-09-12,15:07:50
48,7,20230912150x,2023-09-12,15:09:11
49,7,20230912151x,2023-09-12,15:10:32
50,1,20230912151x,2023-09-12,15:11:40
51,5,20230912151x,2023-09-12,15:14:06
52,15,20230912151x,2023-09-12,15:15:53
53,12,20230912151x,2023-09-12,15:17:15
54,3,20230912151x,2023-09-12,15:18:22
55,7,20230912151x,2023-09-12,15:19:30
56,4,20230912152x,2023-09-12,15:20:33
57,10,20230912152x,2023-09-12,15:21:39
58,4,20230912152x,2023-09-12,15:22:40
59,3,20230912152x,2023-09-12,15:23:41
60,15,20230912152x,2023-09-12,15:24:46
61,9,20230912152x,2023-09-12,15:25:52
62,12,20230912152x,2023-09-12,15:27:10
63,17,20230912152x,2023-09-12,15:28:12
64,7,20230912152x,2023-09-12,15:29:14
65,4,20230912153x,2023-09-12,15:30:34
66,6,20230912153x,2023-09-12,15:31:47
67,12,20230912153x,2023-09-12,15:32:56
68,11,20230912153x,2023-09-12,15:34:05
69,10,20230912153x,2023-09-12,15:35:20
70,11,20230912153x,2023-09-12,15:36:29
71,7,20230912153x,2023-09-12,15:37:48
72,8,20230912153x,2023-09-12,15:38:54
73,4,20230912155x,2023-09-12,15:59:47
74,27,20230912160x,2023-09-12,16:00:55
75,38,20230912160x,2023-09-12,16:01:59
76,53,20230912160x,2023-09-12,16:03:08
77,51,20230912160x,2023-09-12,16:04:09
78,37,20230912160x,2023-09-12,16:05:12
79,20,20230912160x,2023-09-12,16:06:18
80,20,20230912160x,2023-09-12,16:07:20
81,43,20230912160x,2023-09-12,16:08:23
82,18,20230912160x,2023-09-12,16:09:24
83,17,20230912161x,2023-09-12,16:10:24
84,23,20230912161x,2023-09-12,16:11:25
85,10,20230912161x,2023-09-12,16:12:33
86,13,20230912161x,2023-09-12,16:13:34
87,20,20230912161x,2023-09-12,16:14:35
88,15,20230912161x,2023-09-12,16:15:36
89,9,20230912161x,2023-09-12,16:16:41
90,7,20230912161x,2023-09-12,16:17:44
91,23,20230912161x,2023-09-12,16:18:50
92,10,20230912161x,2023-09-12,16:19:51
93,7,20230912162x,2023-09-12,16:20:54
94,17,20230912162x,2023-09-12,16:21:57
95,14,20230912162x,2023-09-12,16:23:00
96,12,20230912162x,2023-09-12,16:24:01
97,20,20230912162x,2023-09-12,16:25:02
98,18,20230912162x,2023-09-12,16:26:03
99,20,20230912162x,2023-09-12,16:27:03
100,53,20230912162x,2023-09-12,16:28:51
101,18,20230912163x,2023-09-12,16:30:20
102,8,20230912163x,2023-09-12,16:32:25
103,15,20230912163x,2023-09-12,16:33:54
104,6,20230912163x,2023-09-12,16:35:24
105,2,20230912163x,2023-09-12,16:37:10
106,2,20230912163x,2023-09-12,16:38:41
107,12,20230912163x,2023-09-12,16:39:46
108,16,20230912164x,2023-09-12,16:40:52
109,8,20230912164x,2023-09-12,16:42:01
110,19,20230912164x,2023-09-12,16:43:03
111,14,20230912164x,2023-09-12,16:44:04
112,17,20230912164x,2023-09-12,16:45:06
113,18,20230912164x,2023-09-12,16:46:08
114,15,20230912164x,2023-09-12,16:47:11
115,23,20230912164x,2023-09-12,16:48:26
116,23,20230912164x,2023-09-12,16:49:27
117,18,20230912165x,2023-09-12,16:50:30
118,18,20230912165x,2023-09-12,16:51:32
119,12,20230912165x,2023-09-12,16:52:33
120,19,20230912165x,2023-09-12,16:53:45
121,15,20230912165x,2023-09-12,16:54:51
122,12,20230912165x,2023-09-12,16:55:54
123,3,20230912165x,2023-09-12,16:56:59
124,9,20230912165x,2023-09-12,16:58:26
125,23,20230912165x,2023-09-12,16:59:42
126,17,20230912170x,2023-09-12,17:01:01
127,9,20230912170x,2023-09-12,17:02:08
128,12,20230912170x,2023-09-12,17:03:23
129,19,20230912170x,2023-09-12,17:04:26
130,10,20230912171x,2023-09-12,17:13:17
